,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
1316,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,123,121,1,1,0,1,0,0,0,0,0,0,105,1,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,4,0.73,3,0,0,0,0,1,1,0.18,1,0,0,0,0,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,4,2,4,0,0,2,4,50.0,2,4,4,0,2,6,29,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,298,33,165,126,11,3,298,2,2,100.0,0,0.0,146,823,467,2,0,0,3,1,172,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,8,494,62,30.5,5.5,7,67,3,1,23,9,1.13,11,6,+5,+0.91,+0.75,7.2,6.4,+0.8,+0.15,+0.31,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,1,0,0,1,1,0,0,2,2,0,0,0,6,14,8,63.6
1317,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,123,121,1,1,0,1,0,0,0,0,0,0,105,1,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,4,0.73,3,0,0,0,0,1,1,0.18,1,0,0,0,0,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,4,2,4,0,0,2,4,50.0,2,4,4,0,2,6,29,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,298,33,165,126,11,3,298,2,2,100.0,0,0.0,146,823,467,2,0,0,3,1,172,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,8,494,62,30.5,5.5,7,67,3,1,23,9,1.13,11,6,+5,+0.91,+0.75,7.2,6.4,+0.8,+0.15,+0.31,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,0,1,0,4,6,0,0,11,4,0,0,0,22,4,9,30.8
1318,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,123,121,1,1,0,1,0,0,0,0,0,0,105,1,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,4,0.73,3,0,0,0,0,1,1,0.18,1,0,0,0,0,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,11,4,8,2,1,8,10,80.0,2,6,2,4,11,22,25,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,166,45,104,60,3,2,166,0,0,0,0,0,97,376,174,0,1,0,1,0,97,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,319,64,19.7,3.5,3,90,3,2,25,4,1.00,5,6,-1,-0.28,-0.21,6.1,4.2,+1.9,+0.54,-0.02,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,1,0,0,1,1,0,0,2,2,0,0,0,6,14,8,63.6
1319,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,123,121,1,1,0,1,0,0,0,0,0,0,105,1,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,4,0.73,3,0,0,0,0,1,1,0.18,1,0,0,0,0,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,11,4,8,2,1,8,10,80.0,2,6,2,4,11,22,25,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,166,45,104,60,3,2,166,0,0,0,0,0,97,376,174,0,1,0,1,0,97,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,319,64,19.7,3.5,3,90,3,2,25,4,1.00,5,6,-1,-0.28,-0.21,6.1,4.2,+1.9,+0.54,-0.02,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,0,1,0,4,6,0,0,11,4,0,0,0,22,4,9,30.8
1320,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,123,121,1,1,0,1,0,0,0,0,0,0,105,1,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,4,0.73,3,0,0,0,0,1,1,0.18,1,0,0,0,0,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,11,4,8,2,1,8,10,80.0,2,6,2,4,11,22,25,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,166,45,104,60,3,2,166,0,0,0,0,0,97,376,174,0,1,0,1,0,97,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,8,494,62,30.5,5.5,7,67,3,1,23,9,1.13,11,6,+5,+0.91,+0.75,7.2,6.4,+0.8,+0.15,+0.31,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,1,0,0,1,1,0,0,2,2,0,0,0,6,14,8,63.6
1321,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,123,121,1,1,0,1,0,0,0,0,0,0,105,1,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,4,0.73,3,0,0,0,0,1,1,0.18,1,0,0,0,0,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,11,4,8,2,1,8,10,80.0,2,6,2,4,11,22,25,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,166,45,104,60,3,2,166,0,0,0,0,0,97,376,174,0,1,0,1,0,97,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,8,494,62,30.5,5.5,7,67,3,1,23,9,1.13,11,6,+5,+0.91,+0.75,7.2,6.4,+0.8,+0.15,+0.31,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,0,1,0,4,6,0,0,11,4,0,0,0,22,4,9,30.8
1322,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,123,121,1,1,0,1,0,0,0,0,0,0,105,1,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,4,0.73,3,0,0,0,0,1,1,0.18,1,0,0,0,0,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,11,4,8,2,1,8,10,80.0,2,6,2,4,11,22,25,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,298,33,165,126,11,3,298,2,2,100.0,0,0.0,146,823,467,2,0,0,3,1,172,1,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,319,64,19.7,3.5,3,90,3,2,25,4,1.00,5,6,-1,-0.28,-0.21,6.1,4.2,+1.9,+0.54,-0.02,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,1,0,0,1,1,0,0,2,2,0,0,0,6,14,8,63.6
1323,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,123,121,1,1,0,1,0,0,0,0,0,0,105,1,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,4,0.73,3,0,0,0,0,1,1,0.18,1,0,0,0,0,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,11,4,8,2,1,8,10,80.0,2,6,2,4,11,22,25,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,298,33,165,126,11,3,298,2,2,100.0,0,0.0,146,823,467,2,0,0,3,1,172,1,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,319,64,19.7,3.5,3,90,3,2,25,4,1.00,5,6,-1,-0.28,-0.21,6.1,4.2,+1.9,+0.54,-0.02,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,0,1,0,4,6,0,0,11,4,0,0,0,22,4,9,30.8
1324,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,123,121,1,1,0,1,0,0,0,0,0,0,105,1,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,4,0.73,3,0,0,0,0,1,1,0.18,1,0,0,0,0,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,11,4,8,2,1,8,10,80.0,2,6,2,4,11,22,25,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,298,33,165,126,11,3,298,2,2,100.0,0,0.0,146,823,467,2,0,0,3,1,172,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,8,494,62,30.5,5.5,7,67,3,1,23,9,1.13,11,6,+5,+0.91,+0.75,7.2,6.4,+0.8,+0.15,+0.31,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,1,0,0,1,1,0,0,2,2,0,0,0,6,14,8,63.6
1325,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,123,121,1,1,0,1,0,0,0,0,0,0,105,1,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,4,0.73,3,0,0,0,0,1,1,0.18,1,0,0,0,0,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,11,4,8,2,1,8,10,80.0,2,6,2,4,11,22,25,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,298,33,165,126,11,3,298,2,2,100.0,0,0.0,146,823,467,2,0,0,3,1,172,1,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,8,494,62,30.5,5.5,7,67,3,1,23,9,1.13,11,6,+5,+0.91,+0.75,7.2,6.4,+0.8,+0.15,+0.31,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,0,1,0,4,6,0,0,11,4,0,0,0,22,4,9,30.8
1326,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,232,217,12,9,1,0,0,1,0,0,0,0,181,3,2,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,4,2,4,0,0,2,4,50.0,2,4,4,0,2,6,29,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,166,45,104,60,3,2,166,0,0,0,0,0,97,376,174,0,1,0,1,0,97,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,319,64,19.7,3.5,3,90,3,2,25,4,1.00,5,6,-1,-0.28,-0.21,6.1,4.2,+1.9,+0.54,-0.02,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,1,0,0,1,1,0,0,2,2,0,0,0,6,14,8,63.6
1327,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,232,217,12,9,1,0,0,1,0,0,0,0,181,3,2,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,4,2,4,0,0,2,4,50.0,2,4,4,0,2,6,29,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,166,45,104,60,3,2,166,0,0,0,0,0,97,376,174,0,1,0,1,0,97,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,319,64,19.7,3.5,3,90,3,2,25,4,1.00,5,6,-1,-0.28,-0.21,6.1,4.2,+1.9,+0.54,-0.02,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,0,1,0,4,6,0,0,11,4,0,0,0,22,4,9,30.8
1328,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,232,217,12,9,1,0,0,1,0,0,0,0,181,3,2,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,4,2,4,0,0,2,4,50.0,2,4,4,0,2,6,29,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,166,45,104,60,3,2,166,0,0,0,0,0,97,376,174,0,1,0,1,0,97,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,8,494,62,30.5,5.5,7,67,3,1,23,9,1.13,11,6,+5,+0.91,+0.75,7.2,6.4,+0.8,+0.15,+0.31,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,1,0,0,1,1,0,0,2,2,0,0,0,6,14,8,63.6
1329,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,232,217,12,9,1,0,0,1,0,0,0,0,181,3,2,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,4,2,4,0,0,2,4,50.0,2,4,4,0,2,6,29,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,166,45,104,60,3,2,166,0,0,0,0,0,97,376,174,0,1,0,1,0,97,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,8,494,62,30.5,5.5,7,67,3,1,23,9,1.13,11,6,+5,+0.91,+0.75,7.2,6.4,+0.8,+0.15,+0.31,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,0,1,0,4,6,0,0,11,4,0,0,0,22,4,9,30.8
1330,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,232,217,12,9,1,0,0,1,0,0,0,0,181,3,2,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,4,2,4,0,0,2,4,50.0,2,4,4,0,2,6,29,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,298,33,165,126,11,3,298,2,2,100.0,0,0.0,146,823,467,2,0,0,3,1,172,1,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,319,64,19.7,3.5,3,90,3,2,25,4,1.00,5,6,-1,-0.28,-0.21,6.1,4.2,+1.9,+0.54,-0.02,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,1,0,0,1,1,0,0,2,2,0,0,0,6,14,8,63.6
1331,Diego González,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,3,319,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,181,232,78.0,3583,1410,57,64,89.1,101,115,87.8,21,44,47.7,1,0.2,0.2,+0.8,1,24,2,0,14,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,232,217,12,9,1,0,0,1,0,0,0,0,181,3,2,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,es ESP,DF,Albacete,La Liga 2,29-319,1995,3.5,4,2,4,0,0,2,4,50.0,2,4,4,0,2,6,29,0,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,298,33,165,126,11,3,298,2,2,100.0,0,0.0,146,823,467,2,0,0,3,1,172,1,es ESP,DF,Albacete,La Liga 2,29-319,1995,5,319,64,19.7,3.5,3,90,3,2,25,4,1.00,5,6,-1,-0.28,-0.21,6.1,4.2,+1.9,+0.54,-0.02,es ESP,"DF,MF",Huesca,La Liga 2,25-219,1999,5.5,0,1,0,4,6,0,0,11,4,0,0,0,22,4,9,30.8
